id,country,Region,continent,,1990,1995,2000,2005,2010,2015,2020,2024
162,Barbados,Caribbean,Latin,America,and,the,Caribbean,24024,26224,28424,30624,32825
163,"Bonaire, Sint Eustatius and Saba",Caribbean,Latin,America,and,the,Caribbean,12930,13508,14233,16980,20559
164,British,Virgin,Islands,Caribbean,Latin,America,and,the,Caribbean,8035,10046,12958
165,Cayman,Islands,Caribbean,Latin,America,and,the,Caribbean,9315,12666,19176,20679
166,Cuba,Caribbean,Latin,America,and,the,Caribbean,34555,26187,18545,11693,7373
167,Curaçao,Caribbean,Latin,America,and,the,Caribbean,43150,43150,43150,43150,34630
168,Dominica,Caribbean,Latin,America,and,the,Caribbean,2519,3121,3723,4744,8110
169,Dominican,Republic,Caribbean,Latin,America,and,the,Caribbean,291151,323381,355611,375417
170,Grenada,Caribbean,Latin,America,and,the,Caribbean,4263,5544,6825,6902,6980
171,Guadeloupe,Caribbean,Latin,America,and,the,Caribbean,65944,74566,83188,89065,94942
172,Haiti,Caribbean,Latin,America,and,the,Caribbean,19084,18129,17222,16360,17182
173,Jamaica,Caribbean,Latin,America,and,the,Caribbean,20475,22713,24952,24284,23677
174,Martinique,Caribbean,Latin,America,and,the,Caribbean,38705,46599,54492,57034,59575
175,Montserrat,Caribbean,Latin,America,and,the,Caribbean,2013,1612,1211,1244,1291
176,Puerto,Rico,Caribbean,Latin,America,and,the,Caribbean,321909,338067,355038,352144
177,Saint,Barthélemy,Caribbean,Latin,America,and,the,Caribbean,,,,
178,Saint,Kitts,and,Nevis,Caribbean,Latin,America,and,the,Caribbean,3210,4248
179,Saint,Lucia,Caribbean,Latin,America,and,the,Caribbean,5305,7155,9871,9839
180,Saint,Martin,(French,part),Caribbean,Latin,America,and,the,Caribbean,,
181,Saint,Vincent,and,the,Grenadines,Caribbean,Latin,America,and,the,Caribbean,3970
182,Sint,Maarten,(Dutch,part),Caribbean,Latin,America,and,the,Caribbean,23861,23861
183,Trinidad,and,Tobago,Caribbean,Latin,America,and,the,Caribbean,50666,45994,41753
184,Turks,and,Caicos,Islands,Caribbean,Latin,America,and,the,Caribbean,5062,7039
185,United,States,Virgin,Islands,Caribbean,Latin,America,and,the,Caribbean,51970,54241
186,Belize,Central,America,Latin,America,and,the,Caribbean,30404,33446,36488,41438
187,Costa,Rica,Central,America,Latin,America,and,the,Caribbean,417628,364287,310946
188,El,Salvador,Central,America,Latin,America,and,the,Caribbean,47360,39537,31713
189,Guatemala,Central,America,Latin,America,and,the,Caribbean,264257,156188,48119,57214
